ibagg 闭关
ibcslo 保存实力
ibcsm 补充说明
ibcsmo 不差什么
ibcsq 抱残守缺
ibcsr 绑上
ibcss 胞室
ibcssi 编审
ibcst 保持水土
ibcsy 冰醋酸
ibct 波茨坦
ibctc 胞胎
ibctci 绑腿
ibctj 胞吐
ibctn 波茨坦
ibcto 胞吞
ibctt 不成体统
ibcv 板擦儿
ibcvb 不辞而别
ibcve 驳岸
ibcvk 绊儿
ibcvko 冰碴儿
ibcw 被称为
ibcwd 保持稳定
ibcwf 不成文
ibcwg 编为
ibcwk 编外
ibcwl 编委
ibcwli 编舞
ibcwn 博茨瓦纳
ibcwv 辨才无碍
ibcx 北朝鲜
ibcxc 别出心裁
ibcxd 编写
ibcxf 编程序
ibcxh 编修
ibcxho 报仇雪恨
ibcxj 胞兄
ibcxk 不辞辛苦
ibcxl 编选
ibcxlo 不辞辛劳
ibcxs 饱餐秀色
ibcxw 不耻下问
ibcyd 编译
ibcydo 驳议
ibcyh 编余
ibcyk 胞饮
ibcyki 编印
ibcyo 驳运
ibcyp 绷硬
ibcyr 不齿于人
ibcyt 编演
ibcyta 抱成一团
ibcyw 补充业务
ibcyz 保持一致
ibcyze 背城一战
ibcyzo 保持原状
ibcz 保持着
ibczc 编织
ibczca 胞脏
ibczci 编组
ibczco 博采众长
ibczco 博采众家之长
ibcze 胞中
ibczg 绷着
ibczgi 绑着
ibczh 绑住
ibczha 笔参造化
ibczhi 绊住
ibczho 被称作
ibczho 标称值
ibczj 彼此之间
ibczk 驳杂
ibczl 编制
ibczli 编造
ibczli 编纂
ibczlo 悲从中来
ibczm 胞质
ibczp 绑在
ibczr 编钟
ibczu 编撰
ibczui 绑扎
ibczw 编著
ibczx 本初子午线
ibczy 绷直
ibczyi 编者
ibczyo 不称职
ibczyo 保持者
ibczz 脖子
ibczzu 膀子
ibdb 不得不
ibdbc 补编
ibdbd 裱褙
ibdbe 被逼
ibdbeo 必败
ibdbf 不得不发
ibdbh 补白
ibdbhe 白蛋白
ibdbho 彼得堡
ibdbk 必备
ibdbl 宝刀不老
ibdbn 补办
ibdbp 遍布
ibdbpo 不但不
ibdbr 背对背
ibdbs 不多不少
ibdbso 不打不相识
ibdbt 棒打不回头
ibdbu 被捕
ibdbuo 补报
ibdbx 不大不小
ibdby 百读不厌
ibdc 表达出
ibdcb 被查
ibdcf 补充
ibdcfo 不动产
ibdcg 补差
ibdch 补偿
ibdcho 不到长城非好汉
ibdck 八大处
ibdcl 被称
ibdclo 不对称
ibdclo 表达出来
ibdcn 白帝城
ibdcv 不对茬儿
ibdcx 不断创新
ibdcy 八斗才
ibdcz 表达出
ibdd 不断地
ibddd 必读
ibdde 扁豆
ibddf 被盗
ibddg 被单
ibddh 病毒的
ibddi 办得到
ibddii 并得到
ibddj 百多吨
ibddje 百端待举
ibddl 必答
ibddm 必得
ibddmo 不道德
ibddn 遍地
ibddo 被动
ibdds 必定
ibddt 不登大雅之堂
ibddu 被打
ibddui 扁担
ibddy 补丁
ibddz 别动队
ibdf 贝多芬
ibdfc 被服
ibdfd 被访
ibdfe 被罚
ibdff 不断丰富
ibdfh 被俘
ibdfho 标点符号
ibdfk 白癜风
ibdfn 补发
ibdfs 表达方式
ibdft 补法
ibdfw 贝多芬
ibdfy 被覆
ibdfz 不断发展
ibdg 白大褂
ibdgb 北豆根
ibdgbo 变档杆
ibdgc 不定冠词
ibdgd 白大褂
ibdgj 变得更加
ibdgl 被告
ibdgr 补钙
ibdgro 病毒感染
ibdgs 毕达哥拉斯
ibdgt 北大港
ibdgx 不断更新
ibdgy 补过
ibdgye 白搭功
ibdh 北大荒
ibdhg 裱糊
ibdhh 被毁
ibdhhe 本地化
ibdhho 补货
ibdhs 被害
ibdhso 憋得慌
ibdhso 不到黄河心不死
ibdht 北戴河
ibdhw 北大荒
ibdhx 不到黄河不死心
ibdj 不对劲
ibdjb 被禁
ibdjbo 不断进步
ibdjc 补给
ibdjco 必经
ibdjco 必纠
ibdjco 补缴
ibdje 不多见
ibdjf 必将
ibdjfo 补交
ibdjfo 不定积分
ibdjg 兵多将广
ibdjh 补假
ibdji 必较
ibdjj 被叫
ibdjk 遍及
ibdjko 不多久
ibdjl 巴丹吉林
ibdjm 被动局面
ibdjn 被劫
ibdjp 补碱
ibdjq 不断加强
ibdjr 补钾
ibdjro 八段锦
ibdjs 必究
ibdjsi 部队建设
ibdjso 博大精深
ibdju 被拒
ibdjx 不得劲
ibdjy 补救
ibdk 白豆蔻
ibdkd 补课
ibdkdo 不断扩大
ibdke 被困
ibdkh 遍地开花
ibdkl 鞭打快驴
ibdkn 傍大款
ibdkno 不大可能
ibdkno 鞭打快牛
ibdkp 被砍
ibdku 被控
ibdkuo 被扣
ibdkuo 必看
ibdkw 白豆蔻
ibdky 补考
ibdkyo 不但可以
ibdl 不得了
ibdle 被里
ibdlee 背地里
ibdleo 八达岭
ibdlg 布达拉宫
ibdlgo 波多黎各
ibdlh 补领
ibdlhi 并蒂莲花
ibdlj 本地连接
ibdlp 遍历
ibdls 弊多利少
ibdlt 补漏
ibdlw 并蒂莲
ibdly 鲍德里亚
ibdlz 表达了
ibdlzo 报道了
ibdm 帮倒忙
ibdmc 被膜
ibdmp 补码
ibdms 帮倒忙
ibdnc 补脑
ibdnf 波多诺伏
ibdnh 被你
ibdnl 表达能力
ibdnx 必能
ibdpc 被骗
ibdpg 被判
ibdph 被迫
ibdpj 补品
ibdps 布达佩斯
ibdpt 被派
ibdpu 扁平
ibdpy 补票
ibdq 不定期
ibdqa 补阙
ibdqf 补齐
ibdqh 补全
ibdqi 本地区
ibdqia 北道区
ibdqio 宝坻区
ibdqj 不断前进
ibdql 补气
ibdqlo 补缺
ibdqy 扁鹊
ibdqz 不得其志
ibdr 本地人
ibdrc 不但如此
ibdrd 被褥
ibdrh 被人
ibdrj 补入
ibdrk 必然
ibdro 班德瑞
ibdrx 不得人心
ibds 不但是
ibdsb 补述
ibdsc 必胜
ibdsco 冰冻三尺
ibdsd 报道说
ibdsf 保定市
ibdsg 遍数
ibdsh 遍身
ibdsha 笔底生花
ibdsho 冰冻三尺，非一日之寒
ibdsi 表达式
ibdsio 不等式
ibdsio 不定式
ibdsio 被动式
ibdsj 被杀
ibdsjo 必杀
ibdsk 被删
ibdsl 补税
ibdsm 变电所
ibdsp 必死
ibdsq 补肾
ibdsr 补上
ibdsra 比得上
ibdsro 不断深入
ibdss 不动声色
ibdsu 巴豆霜
ibdsy 败毒散
ibdt 不对头
ibdtb 扁桃
ibdtc 补胎
ibdte 补贴
ibdtg 不断提高
ibdth 被他
ibdthi 半导体
ibdtho 被偷
ibdtho 遍体
ibdtj 包打听
ibdtn 被她
ibdtno 必填
ibdtp 被套
ibdtr 补铁
ibdts 不对头
ibdtx 补台
ibdv 布迪厄
ibdvc 背道而驰
ibdvd 被动挨打
ibdvj 被爱
ibdvp 布迪厄
ibdvq 拔地而起
ibdvz 不得而知
ibdw 不到位
ibdwg 必为
ibdwh 补位
ibdwhe 本单位
ibdwj 不倒翁
ibdwl 宝刀未老
ibdws 被窝
ibdwso 不断完善
ibdx 北斗星
ibdxb 遍寻
ibdxbo 补校
ibdxh 补血
ibdxho 必修
ibdxho 补修
ibdxi 北斗星
ibdxl 补选
ibdxm 必须
ibdxr 补虚
ibdxs 病毒性
ibdxso 被动性
ibdxu 必需
ibdxw 不端行为
ibdxx 补习
ibdxy 北大西洋
ibdxyo 病毒性肝炎
ibdxz 拔刀相助
ibdxzo 保兑信用证
ibdy 不得已
ibdyb 不得已
ibdye 遍野
ibdyeo 补遗
ibdyg 裨益
ibdygi 鼻窦炎
ibdygo 补益
ibdygo 补养
ibdyi 补牙
ibdyk 被疑
ibdyl 不得要领
ibdyli 弊大于利
ibdyo 不等于
ibdyoo 不低于
ibdyp 必有
ibdys 被动运输
ibdyt 被淹
ibdyto 补液
ibdyw 补药
ibdyx 不得以
ibdyy 必要
ibdyyi 棒打鸳鸯
ibdyyu 膀大腰圆
ibdyz 补阳
ibdyzo 补阴
ibdyzo 不得已而为之
ibdyzu 步调一致
ibdz 半吊子
ibdzc 补缀
ibdzco 不当之处
ibdze 补助
ibdzeo 被罩
ibdzf 补妆
ibdzfo 变电站
ibdzg 被炸
ibdzj 补足
ibdzk 必争
ibdzl 补种
ibdzli 剥夺政治权利
ibdzm 扁舟
ibdzr 被占
ibdzt 补注
ibdzu 被抓
ibdzy 补正
ibdzz 被子
ibdzzo 被阻
ibdzzo 不打自招
ibebe 贝贝
ibebf 贬褒
ibebh 败兵
ibebl 败笔
ibeblo 罢笔
ibebn 蚌埠
ibebr 败北
ibecd 贬词
ibece 罢黜
ibecl 贬称
ibecm 贬斥
ibecp 崩殂
ibecw 败草
ibecz 逼出
ibedh 贬低
ibedk 贝雕
ibedm 逼得
ibedo 败毒
ibefe 蝙蝠
ibegc 败给
ibege 髀骨
ibegg 髀关
ibegh 逼供
ibegs 逼宫
ibegso 罢官
ibegso 贬官
ibegy 罢工
ibehg 败火
ibehl 逼和
ibehn 败坏
ibehno 逼婚
ibejb 败局
ibejc 败绩
ibejd 败军
ibejf 败将
ibejh 贬价
ibejk 逼急
ibejke 崩解
ibejm 逼近
ibejs 败家
ibekd 罢课
ibekn 贝壳
ibekni 蚌壳
ibeks 败寇
ibekt 崩溃
ibeky 贝克
ibekyo 罢考
ibelg 败类
ibelgo 贝类
ibell 贝利
ibelp 崩裂
ibelt 崩漏
ibelu 败露
ibelw 败落
ibely 贝勒
ibelz 罢了
ibemc 贝母
ibemk 罢免
ibene 睥睨
ibens 贝宁
ibeph 逼迫
ibepm 崩盘
ibepu 逼平
ibequ 逼抢
iberh 逼人
ibesb 贝司
ibesd 逼视
ibesdo 败诉
ibesf 罢市
ibesp 逼死
ibess 罢赛
ibesu 罢手
ibesuo 贬损
ibetb 败退
ibetn 崩塌
ibetne 崩坍
ibetno 贝塔
ibevk 贝尔
ibewa 逼问
ibewe 败胃
ibexh 罢休
ibexn 败絮
ibexs 败兴
ibeye 败因
ibeyeo 败由
ibeyg 贬义
ibeyj 败叶
ibeyu 贬抑
ibezd 贬谪
ibezg 逼着
ibezh 贬值
ibezho 败仗
ibezho 逼债
ibezn 逼走
ibezno 败走
ibezy 败者
ibezyo 逼真
ibezyo 罢职
ibezz 败阵
ibfb 百分百
ibfba 半封闭
ibfbb 冰棒
ibfbc 辩驳
ibfbco 不分彼此
ibfbd 边防部队
ibfbe 褒贬
ibfbf 病变
ibfbfe 白粉病
ibfbfo 冰冰
ibfbh 变白
ibfbhi 辩白
ibfbi 冰暴
ibfbie 百分比
ibfbj 辨别
ibfbo 百分表
ibfbp 百分百
ibfbs 不肥不瘦
ibfbu 禀报
ibfbuo 冰雹
ibfbz 百发百中
ibfcb 冰层
ibfcc 白发苍苍
ibfcd 辩词
ibfce 病虫
ibfcf 病床
ibfcfo 变产
ibfcfo 病畜
ibfcg 变粗
ibfch 冰川
ibfcho 不分场合
ibfcl 变长
ibfcli 辩称
ibfclo 病程
ibfclo 不费吹灰之力
ibfcn 冰城
ibfcno 冰场
ibfcp 变成
ibfcpo 病残
ibfcr 冰镩
ibfcy 辩才
ibfcyi 部分产业
ibfcz 辨出
ibfczo 变出
ibfczo 不复存在
ibfd 部分的
ibfdd 变调
ibfde 变电
ibfdf 冰冻
ibfdg 冰灯
ibfdh 病倒
ibfdha 北方的
ibfdho 冰袋
ibfdho 办法的
ibfdj 百废待举
ibfdjo 不发达国家
ibfdk 冰雕
ibfdko 冰岛
ibfdl 变短
ibfdlo 病笃
ibfdm 变得
ibfdn 冰刀
ibfdo 病毒
ibfdoo 变动
ibfdoo 冰毒
ibfdp 变大
ibfdpo 不发达
ibfdq 部分地区
ibfdqa 北方地区
ibfdqo 不发达地区
ibfdr 冰点
ibfdre 百分点
ibfds 病窦
ibfdx 百废待兴
ibfdxo 不分大小
ibfdz 部队
ibff 不复返
ibffd 病房
ibffe 冰峰
ibffeo 禀赋
ibffh 部份
ibffj 部分
ibffm 不复返
ibffn 冰封
ibffo 病夫
ibfft 变法
ibffy 冰敷
ibffz 不法分子
ibfg 避风港
ibfgb 冰棍
ibfgbo 病根
ibfgbo 冰柜
ibfgg 冰盖
ibfggo 冰糕
ibfgj 播放工具
ibfgl 禀告
ibfgn 变卦
ibfgp 部分股票
ibfgt 避风港
ibfgy 变故
ibfgyo 变革
ibfgyo 变更
ibfh 不符合
ibfhc 变幻
ibfhd 暴发户
ibfhda 北方话
ibfhe 变回
ibfheo 病患
ibfheo 变黑
ibfhf 疤痕
ibfhfo 瘢痕
ibfhh 变化
ibfhj 病号
ibfhm 病后
ibfhn 变好
ibfhno 变坏
ibfhno 冰壶
ibfhp 变厚
ibfhs 冰寒
ibfhsa 蚍蜉撼树
ibfhso 病害
ibfht 冰河
ibfhu 变换
ibfhua 庇护
ibfhui 辩护
ibfhw 冰花
ibfhy 八方呼应
ibfj 边防军
ibfjb 变局
ibfjbe 播放机
ibfjbi 半封建
ibfjbo 病机
ibfjc 冰肌
ibfjci 部级
ibfjd 北伐军
ibfje 禀见
ibfjf 部将
ibfjfo 褒奖
ibfjh 部件
ibfjho 病假
ibfjho 变价
ibfjho 变焦
ibfji 冰晶
ibfjj 悲愤交加
ibfjk 辩解
ibfjku 步伐加快
ibfjs 冰窖
ibfjso 病家
ibfjw 病菌
ibfjwo 变节
ibfjx 百废具兴
ibfjxe 百废俱兴
ibfk 八方客
ibfkf 病况
ibfkn 冰块
ibfks 变宽
ibfkse 白费口舌
ibfl 爆发了
ibflb 冰棱
ibflc 变脸
ibfld 辩论
ibfle 布法罗
ibflf 冰冷
ibflfa 疤瘌
ibflfa 巴甫洛夫
ibflfe 百分率
ibflfo 冰凉
ibflfo 变亮
ibflfo 变冷
ibflg 部类
ibflh 病例
ibfli 变量
ibfln 爆发力
ibflo 病理
ibflp 病历
ibflq 白费力气
ibflw 部落
ibfly 变老
ibflya 巴伐利亚
ibflz 变了
ibflzo 病了
ibfma 部门
ibfmc 瓣膜
ibfmf 病魔
ibfmi 辨明
ibfmii 辩明
ibfmk 病名
ibfmp 冰面
ibfms 变慢
ibfmy 变卖
ibfni 变暖
ibfnx 辩难
ibfph 冰片
ibfpm 变盘
ibfpr 变频
ibfpu 冰排
ibfq 不服气
ibfqb 不分青红皂白
ibfqi 病区
ibfqj 播放器
ibfql 变迁
ibfqo 冰球
ibfqr 不乏其人
ibfqs 病情
ibfqse 白发青衫
ibfqt 辨清
ibfqx 边防前线
ibfqy 冰期
ibfqyi 部分企业
ibfrb 病弱
ibfrc 并非如此
ibfrd 辨认
ibfrh 病人
ibfrho 冰人
ibfri 变软
ibfrs 病容
ibfru 变热
ibfs 并非是
ibfsb 部属
ibfsd 辨识
ibfsda 比方说
ibfse 部署
ibfseo 冰山
ibfseo 病史
ibfsf 不分胜负
ibfsg 变数
ibfsge 百分数
ibfsgi 部首
ibfsh 变身
ibfsi 不服输
ibfsj 冰释
ibfsk 变色
ibfski 辨色
ibfso 瘪三
ibfsp 病死
ibfsr 冰上
ibfss 冰室
ibfsso 病室
ibfsso 边防哨所
ibfst 冰水
ibfsto 变少
ibfsto 不服水土
ibfsu 冰霜
ibfsui 辩手
ibfsuo 病逝
ibfsuo 病势
ibfsw 褒赏
ibfsy 变速
ibftb 病榻
ibftbo 病退
ibftf 病痛
ibftg 冰糖
ibfth 变体
ibftho 病体
ibfti 辩题
ibfto 变天
ibftp 变态
ibftpo 病态
ibfts 部头
ibftx 变通
ibfty 悲愤填膺
ibftz 膘肥体壮
ibfv 半疯儿
ibfvi 变暗
ibfvk 变法儿
ibfvs 病案
ibfvt 补肺阿胶汤
ibfw 把服务
ibfwb 变废为宝
ibfwg 变为
ibfwh 部位
ibfwhi 辨伪
ibfwho 变位
ibfwj 变味
ibfwk 病危
ibfwl 部委
ibfwx 变法维新
ibfx 不放心
ibfxb 变相
ibfxbi 辨析
ibfxc 边防线
ibfxco 边锋线
ibfxd 冰心
ibfxdo 变心
ibfxh 变向
ibfxhi 蝙蝠侠
ibfxho 病休
ibfxi 变星
ibfxio 病邪
ibfxj 白费心机
ibfxl 冰箱
ibfxlo 报复心理
ibfxo 变形
ibfxoo 变现
ibfxoo 被发现
ibfxs 变性
ibfxso 禀性
ibfxso 报复性
ibfxt 变小
ibfxu 冰雪
ibfxuo 暴风雪
ibfxw 不法行为
ibfxy 部下
ibfxyo 冰鞋
ibfy 暴风雨
ibfyb 变异
ibfybo 变样
ibfyc 冰缘
ibfye 病因
ibfyeo 冰岩
ibfyf 变音
ibfyg 褒义
ibfyh 庇佑
ibfyhi 部优
ibfyho 病愈
ibfyi 变易
ibfyj 病员
ibfyp 变硬
ibfypi 辩友
ibfypo 病原
ibfypo 变压
ibfys 褒誉
ibfysi 并非易事
ibfyso 不妨一试
ibfyt 病源
ibfyu 褒扬
ibfyw 庇荫
ibfyy 冰雨
ibfyz 病院
ibfz 百分之
ibfzb 冰柱
ibfzbe 百分之百
ibfzbo 不分皂白
ibfzd 辩证
ibfzdi 辨证
ibfze 病中
ibfzf 部族
ibfzfi 并发症
ibfzfo 病症
ibfzg 病灶
ibfzga 亳州
ibfzgo 病着
ibfzh 变作
ibfzl 部长
ibfzle 百分制
ibfzlo 变种
ibfzlo 病重
ibfzm 变质
ibfzo 禀奏
ibfzoo 变奏
ibfzr 冰镇
ibfzro 不负责任
ibfzs 变窄
ibfzso 边防战士
ibfzt 不法之徒
ibfzw 不负众望
ibfzy 被俘者
ibfzyo 暴风骤雨
ibfzyo 捕风捉影
ibfzyo 八方支援
ibfzz 辫子
ibfzza 北伐战争
ibfzze 白附子
ibfzzo 变阵
ibgb 班干部
ibgbb 半壁
ibgbbo 薄钢板
ibgbc 笔耕不辍
ibgbd 并被
ibgbdi 半工半读
ibgbf 半部
ibgbfi 弊病
ibgbg 粑粑
ibgbgo 不管不顾
ibgbj 毕恭毕敬
ibgbjo 不干不净
ibgbl 秉公办理
ibgbla 包工包料
ibgbn 半边
ibgbp 并不
ibgbpi 半百
ibgbr 半步
ibgbs 秉公办事
ibgbu 并把
ibgbui 并报
ibgbx 边干边学
ibgbz 八纲辨证
ibgc 兵工厂
ibgcf 宝贵财富
ibgcg 爆炒
ibgcgi 并曾
ibgch 并从
ibgck 并处
ibgcl 并称
ibgcli 半程
ibgcn 半场
ibgcp 并存
